Brand,Type,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
Mazda,Glc Deluxe,Gas,Std,Four,Sedan,Fwd,Front,93.1,166.8,64.2,54.1,1950,Ohc,Four,91,2Bbl,3.08,3.15,9.0,68,5000,31,38,7395.0
Mazda,626,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2380,Rotor,Two,70,4Bbl,3.33,3.255,9.4,101,6000,17,23,10945.0
Mazda,Glc,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2380,Rotor,Two,70,4Bbl,3.33,3.255,9.4,101,6000,17,23,11845.0
Mazda,Rx-7 Gs,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2385,Rotor,Two,70,4Bbl,3.33,3.255,9.4,101,6000,17,23,13645.0
Mazda,Glc 4,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2500,Rotor,Two,80,Mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0
Mazda,626,Gas,Std,Two,Hatchback,Fwd,Front,98.8,177.8,66.5,53.7,2385,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84,4800,26,32,8845.0
Mazda,Glc Custom L,Gas,Std,Four,Sedan,Fwd,Front,98.8,177.8,66.5,55.5,2410,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84,4800,26,32,8495.0
Mazda,Glc Custom,Gas,Std,Two,Hatchback,Fwd,Front,98.8,177.8,66.5,53.7,2385,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84,4800,26,32,10595.0
Mazda,Rx-4,Gas,Std,Four,Sedan,Fwd,Front,98.8,177.8,66.5,55.5,2410,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84,4800,26,32,10245.0
Mazda,Glc Deluxe,Diesel,Std,Four,Sedan,Fwd,Front,98.8,177.8,66.5,55.5,2443,Ohc,Four,122,Idi,3.39,3.39,22.7,64,4650,36,42,10795.0
Mazda,626,Gas,Std,Four,Hatchback,Fwd,Front,98.8,177.8,66.5,55.5,2425,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84,4800,26,32,11245.0
Mazda,Glc,Gas,Std,Four,Sedan,Rwd,Front,104.9,175.0,66.1,54.4,2670,Ohc,Four,140,Mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0
Mazda,Rx-7 Gs,Diesel,Std,Four,Sedan,Rwd,Front,104.9,175.0,66.1,54.4,2700,Ohc,Four,134,Idi,3.43,3.64,22.0,72,4200,31,39,18344.0
Buick,Electra 225 Custom,Diesel,Turbo,Four,Sedan,Rwd,Front,110.0,190.9,70.3,56.5,3515,Ohc,Five,183,Idi,3.58,3.64,21.5,123,4350,22,25,25552.0
Buick,Century Luxus (Sw),Diesel,Turbo,Four,Wagon,Rwd,Front,110.0,190.9,70.3,58.7,3750,Ohc,Five,183,Idi,3.58,3.64,21.5,123,4350,22,25,28248.0
Buick,Century,Diesel,Turbo,Two,Hardtop,Rwd,Front,106.7,187.5,70.3,54.9,3495,Ohc,Five,183,Idi,3.58,3.64,21.5,123,4350,22,25,28176.0
Buick,Skyhawk,Diesel,Turbo,Four,Sedan,Rwd,Front,115.6,202.6,71.7,56.3,3770,Ohc,Five,183,Idi,3.58,3.64,21.5,123,4350,22,25,31600.0
Buick,Opel Isuzu Deluxe,Gas,Std,Four,Sedan,Rwd,Front,115.6,202.6,71.7,56.5,3740,Ohcv,Eight,234,Mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0
Buick,Skylark,Gas,Std,Two,Convertible,Rwd,Front,96.6,180.3,70.5,50.8,3685,Ohcv,Eight,234,Mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0
Buick,Century Special,Gas,Std,Four,Sedan,Rwd,Front,120.9,208.1,71.7,56.7,3900,Ohcv,Eight,308,Mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0
Buick,Regal Sport Coupe (Turbo),Gas,Std,Two,Hardtop,Rwd,Front,112.0,199.2,72.0,55.4,3715,Ohcv,Eight,304,Mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0
Mercury,Cougar,Gas,Turbo,Two,Hatchback,Rwd,Front,102.7,178.4,68.0,54.8,2910,Ohc,Four,140,Mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0
Mitsubishi,Mirage,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,64.4,50.8,1918,Ohc,Four,92,2Bbl,2.97,3.23,9.4,68,5500,37,41,5389.0
Mitsubishi,Lancer,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,64.4,50.8,1944,Ohc,Four,92,2Bbl,2.97,3.23,9.4,68,5500,31,38,6189.0
Mitsubishi,Outlander,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,64.4,50.8,2004,Ohc,Four,92,2Bbl,2.97,3.23,9.4,68,5500,31,38,6669.0
Mitsubishi,G4,Gas,Turbo,Two,Hatchback,Fwd,Front,93.0,157.3,63.8,50.8,2145,Ohc,Four,98,Spdi,3.03,3.39,7.6,102,5500,24,30,7689.0
Mitsubishi,Mirage G4,Gas,Turbo,Two,Hatchback,Fwd,Front,96.3,173.0,65.4,49.4,2370,Ohc,Four,110,Spdi,3.17,3.46,7.5,116,5500,23,30,9959.0
Mitsubishi,G4,Gas,Std,Two,Hatchback,Fwd,Front,96.3,173.0,65.4,49.4,2328,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88,5000,25,32,8499.0
Mitsubishi,Outlander,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2833,Ohc,Four,156,Spdi,3.58,3.86,7.0,145,5000,19,24,12629.0
Mitsubishi,G4,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2921,Ohc,Four,156,Spdi,3.59,3.86,7.0,145,5000,19,24,14869.0
Mitsubishi,Mirage G4,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2926,Ohc,Four,156,Spdi,3.59,3.86,7.0,145,5000,19,24,14489.0
Mitsubishi,Montero,Gas,Std,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2365,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88,5000,25,32,6989.0
Mitsubishi,Pajero,Gas,Std,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2405,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88,5000,25,32,8189.0
Mitsubishi,Outlander,Gas,Turbo,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2403,Ohc,Four,110,Spdi,3.17,3.46,7.5,116,5500,23,30,9279.0
Mitsubishi,Mirage G4,Gas,Std,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2403,Ohc,Four,110,Spdi,3.17,3.46,7.5,116,5500,23,30,9279.0
Nissan,Versa,Gas,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1889,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,5499.0
Nissan,Gt-R,Diesel,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,2017,Ohc,Four,103,Idi,2.99,3.47,21.9,55,4800,45,50,7099.0
Nissan,Rogue,Gas,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1918,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,6649.0
Nissan,Latio,Gas,Std,Four,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1938,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,6849.0
Nissan,Titan,Gas,Std,Four,Wagon,Fwd,Front,94.5,170.2,63.8,53.5,2024,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,7349.0
Nissan,Leaf,Gas,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1951,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,7299.0
Nissan,Juke,Gas,Std,Two,Hatchback,Fwd,Front,94.5,165.6,63.8,53.3,2028,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,7799.0
Nissan,Latio,Gas,Std,Four,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1971,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,7499.0
Nissan,Note,Gas,Std,Four,Wagon,Fwd,Front,94.5,170.2,63.8,53.5,2037,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,7999.0
Nissan,Clipper,Gas,Std,Two,Hardtop,Fwd,Front,95.1,162.4,63.8,53.3,2008,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69,5200,31,37,8249.0
Nissan,Rogue,Gas,Std,Four,Hatchback,Fwd,Front,97.2,173.4,65.2,54.7,2324,Ohc,Four,120,2Bbl,3.33,3.47,8.5,97,5200,27,34,8949.0
Nissan,Nv200,Gas,Std,Four,Sedan,Fwd,Front,97.2,173.4,65.2,54.7,2302,Ohc,Four,120,2Bbl,3.33,3.47,8.5,97,5200,27,34,9549.0
Nissan,Dayz,Gas,Std,Four,Sedan,Fwd,Front,100.4,181.7,66.5,55.1,3095,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0
Nissan,Fuga,Gas,Std,Four,Wagon,Fwd,Front,100.4,184.6,66.5,56.1,3296,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0
Nissan,Otti,Gas,Std,Four,Sedan,Fwd,Front,100.4,184.6,66.5,55.1,3060,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0
Nissan,Teana,Gas,Std,Two,Hatchback,Rwd,Front,91.3,170.7,67.9,49.7,3071,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0
Nissan,Kicks,Gas,Turbo,Two,Hatchback,Rwd,Front,91.3,170.7,67.9,49.7,3139,Ohcv,Six,181,Mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0
Nissan,Clipper,Gas,Std,Two,Hatchback,Rwd,Front,99.2,178.5,67.9,49.7,3139,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0
Peugeot,504,Gas,Std,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3020,L,Four,120,Mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0
Peugeot,304,Diesel,Turbo,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3197,L,Four,152,Idi,3.7,3.52,21.0,95,4150,28,33,13200.0
Peugeot,504 (Sw),Gas,Std,Four,Wagon,Rwd,Front,114.2,198.9,68.4,58.7,3230,L,Four,120,Mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0
Peugeot,504,Diesel,Turbo,Four,Wagon,Rwd,Front,114.2,198.9,68.4,58.7,3430,L,Four,152,Idi,3.7,3.52,21.0,95,4150,25,25,13860.0
Peugeot,504,Gas,Std,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3075,L,Four,120,Mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0
Peugeot,604Sl,Diesel,Turbo,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3252,L,Four,152,Idi,3.7,3.52,21.0,95,4150,28,33,16900.0
Peugeot,504,Gas,Std,Four,Wagon,Rwd,Front,114.2,198.9,68.4,56.7,3285,L,Four,120,Mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0
Peugeot,505S Turbo Diesel,Diesel,Turbo,Four,Wagon,Rwd,Front,114.2,198.9,68.4,58.7,3485,L,Four,152,Idi,3.7,3.52,21.0,95,4150,25,25,17075.0
Peugeot,504,Gas,Std,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3075,L,Four,120,Mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0
Peugeot,504,Diesel,Turbo,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3252,L,Four,152,Idi,3.7,3.52,21.0,95,4150,28,33,17950.0
Peugeot,604Sl,Gas,Turbo,Four,Sedan,Rwd,Front,108.0,186.7,68.3,56.0,3130,L,Four,134,Mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0
Plymouth,Fury Iii,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,1918,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,37,41,5572.0
Plymouth,Cricket,Gas,Turbo,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,2128,Ohc,Four,98,Spdi,3.03,3.39,7.6,102,5500,24,30,7957.0
Plymouth,Fury Iii,Gas,Std,Four,Hatchback,Fwd,Front,93.7,157.3,63.8,50.6,1967,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,31,38,6229.0
Plymouth,Satellite Custom (Sw),Gas,Std,Four,Sedan,Fwd,Front,93.7,167.3,63.8,50.8,1989,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68,5500,31,38,6692.0
Plymouth,Fury Gran Sedan,Gas,Std,Four,Sedan,Fwd,Front,93.7,167.3,63.8,50.8,2191,Ohc,Four,98,2Bbl,2.97,3.23,9.4,68,5500,31,38,7609.0
Plymouth,Valiant,Gas,Std,Four,Wagon,Fwd,Front,103.3,174.6,64.6,59.8,2535,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88,5000,24,30,8921.0
Plymouth,Duster,Gas,Turbo,Two,Hatchback,Rwd,Front,95.9,173.2,66.3,50.2,2818,Ohc,Four,156,Spdi,3.59,3.86,7.0,145,5000,19,24,12764.0
Porsche,Macan,Gas,Std,Two,Hatchback,Rwd,Front,94.5,168.9,68.3,50.2,2778,Ohc,Four,151,Mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0
Porsche,Panamera,Gas,Std,Two,Hardtop,Rwd,Rear,89.5,168.9,65.0,51.6,2756,Ohcf,Six,194,Mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0
Porsche,Cayenne,Gas,Std,Two,Hardtop,Rwd,Rear,89.5,168.9,65.0,51.6,2756,Ohcf,Six,194,Mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0
Porsche,Boxter,Gas,Std,Two,Convertible,Rwd,Rear,89.5,168.9,65.0,51.6,2800,Ohcf,Six,194,Mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0
Porsche,Cayenne,Gas,Std,Two,Hatchback,Rwd,Front,98.4,175.7,72.3,50.5,3366,Dohcv,Eight,203,Mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5
Renault,12Tl,Gas,Std,Four,Wagon,Fwd,Front,96.1,181.5,66.5,55.2,2579,Ohc,Four,132,Mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0
Renault,5 Gtl,Gas,Std,Two,Hatchback,Fwd,Front,96.1,176.8,66.6,50.5,2460,Ohc,Four,132,Mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0
Saab,99E,Gas,Std,Two,Hatchback,Fwd,Front,99.1,186.6,66.5,56.1,2658,Ohc,Four,121,Mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0
Saab,99Le,Gas,Std,Four,Sedan,Fwd,Front,99.1,186.6,66.5,56.1,2695,Ohc,Four,121,Mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0
Saab,99Le,Gas,Std,Two,Hatchback,Fwd,Front,99.1,186.6,66.5,56.1,2707,Ohc,Four,121,Mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0
Saab,99Gle,Gas,Std,Four,Sedan,Fwd,Front,99.1,186.6,66.5,56.1,2758,Ohc,Four,121,Mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0
Saab,99Gle,Gas,Turbo,Two,Hatchback,Fwd,Front,99.1,186.6,66.5,56.1,2808,Dohc,Four,121,Mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0
Saab,99E,Gas,Turbo,Four,Sedan,Fwd,Front,99.1,186.6,66.5,56.1,2847,Dohc,Four,121,Mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0
Subaru,Dl,Gas,Std,Two,Hatchback,Fwd,Front,93.7,156.9,63.4,53.7,2050,Ohcf,Four,97,2Bbl,3.62,2.36,9.0,69,4900,31,36,5118.0
Subaru,Dl,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.9,63.6,53.7,2120,Ohcf,Four,108,2Bbl,3.62,2.64,8.7,73,4400,26,31,7053.0
Subaru,Dl,Gas,Std,Two,Hatchback,4Wd,Front,93.3,157.3,63.8,55.7,2240,Ohcf,Four,108,2Bbl,3.62,2.64,8.7,73,4400,26,31,7603.0
Subaru,Brz,Gas,Std,Four,Sedan,Fwd,Front,97.2,172.0,65.4,52.5,2145,Ohcf,Four,108,2Bbl,3.62,2.64,9.5,82,4800,32,37,7126.0
Subaru,Brz,Gas,Std,Four,Sedan,Fwd,Front,97.2,172.0,65.4,52.5,2190,Ohcf,Four,108,2Bbl,3.62,2.64,9.5,82,4400,28,33,7775.0
